,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza privada,Salud humana privada,Servicios veterinarios,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento"
"Motores, turbinas, bombas y compresores",7.717348531484644e-05,0.00010418279761557003,3.901042859163128e-06,6.266964352423616e-05,3.3274931168777624e-05,1.694363272188878e-05,8.154504363898734e-05,2.7307768733390256e-05,7.005904225786281e-06,7.457667313149125e-05,0.00939724728256335,0.0014916089518720978,0.0,0.0,0.001794109435825256,0.031736911001272086,0.01568338301678299,0.0,1.831590293248057e-07,0.001416577109469286,0.001126571337407622,0.006056572807282227,0.007584865268442395,0.0070073202117358615,0.01533642344664191,0.0014916424857737735,0.005015327685434503,0.003465901097452497,0.0,0.004036571144319491,0.028167160637861174,0.002455011250759307,0.0035623758356991687,0.0026076113855473494,0.002961477285147495,0.006262402766943876,0.0018904183383448969,0.0017995456971637916,0.008023579029692765,0.003001212894877503,0.002675954913791177,0.0015581629345423468,0.0017918638393698784,0.0027068786427458043,0.0009552823476158588,0.00128240176313874,0.002820387492747691,0.0001622215808970337,1.1241120245678728e-07,0.000975168516772686,0.0010782550918411059,0.0013947683202563607,0.0007270780000084373,0.0006200744886209903,0.0008518011521188602,0.002696928676631827,0.0020409416581850834,0.003060515432629969,0.0013570856131692802,0.0031713457041098393,0.001673379115543147,0.005104724622225989,0.00041807560871850525,0.004899343947063731,0.0037044160054897773,0.0028934203562321114,0.002530428459641354,0.0032339687061812444,0.002861153839847986,0.0013389287282889572,9.003808441680384e-05,0.04640860710801664,0.03457427630101505,0.012885537321736707,0.0017508217990051397,0.12726633068473173,0.0,0.0003314468248570813,7.846360229993527e-05,0.001226818744530528,0.0037312848082231547,0.002686822102228264,0.008207896496543642,0.01990170800383787,0.014566082952405237,0.04456449299103805,0.004128833109367703,0.011416428507848254,0.022886089958999538,0.12712148566037665,0.003611613076654752,0.0011344192201616116,0.0011018559181201564,0.0,0.0009460677342259835,0.11703037026663592,1.6636139833385336e-07,4.1152661306114945e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.008187542127866869,0.0,0.0,0.0,0.0,0.0,5.918113731730583e-10,0.0,2.652142868064369e-06,6.001339579877257e-05,0.0,0.0,0.0,0.0017262485643529692,0.0,1.0513340319884403e-06
"Engranajes, hornos, elevadores y otras maquinarias de uso general",0.01019462625886873,0.01903181857082404,0.009869564829100464,0.006655602086324694,0.0031985317870034747,0.0026466637288209425,0.0003520200586648511,0.009044153576987228,0.008665135876593332,0.006400091228064203,0.025292338841878294,0.0,0.0,0.0,0.00277569534497084,0.06772761785301569,0.0235226885687177,6.227011205628947e-06,0.005434791684670571,0.0014577987241017195,0.0025465968080867624,0.008266705519511468,0.0024308512777319095,0.0016073384900920898,0.033697493048359166,0.0006414599400698718,0.0002425770478939914,0.003762031599808137,1.700777136492507e-05,0.004347122203551305,0.05109945864042486,0.004479846334019557,0.0031313737346867613,0.0021206847953831012,0.004021259505564499,0.004676145448114951,0.004774019074698099,0.0011168025329354393,0.013220874217350716,0.008321604032403156,0.004225222024571259,0.005344945844967305,0.0024169248606079725,0.0023397552650970908,0.000807280362118788,0.001345235969393445,0.003746900379392925,0.0,0.0008214486089930551,0.0013941621280198625,0.00037873348471618035,0.0016823445887086197,0.0003508029863957023,0.0001414750510073968,0.004428325889541267,0.00011162205882113198,0.0021026117127635495,0.0015280590525228108,0.0033136503525894615,0.0028388075172573893,0.0014352523433037439,0.0014473586976293579,1.2613715789952464e-05,0.001389355877090516,0.004279193154690823,0.003394712305573653,0.0,0.0016668415910842862,7.390445202936812e-06,0.000730859387810584,0.0001556017732051594,0.016013059247688505,0.2261018892261137,0.0020672062949906936,0.002368513188761347,0.01155755307039675,0.0,0.006083240683978255,0.013061038549315854,0.00012033249226546301,0.01442268881036412,3.112895153862714e-05,0.001419900117955219,0.00015983210349650924,0.0018815292397437744,0.0021796833068531327,9.766564842505231e-05,0.0018954759464742746,0.0003075544593697037,0.0003381495170239812,0.007739625712764922,0.0,2.0946369785325098e-07,0.0,0.025713364542908117,0.0620035480653881,0.001974670115687457,0.0029444297175262916,6.377964036132639e-07,0.015419016079816925,0.0,0.0,0.0,0.0,0.0,0.0,4.2863995010736876e-05,2.136367939277433e-05,0.0,0.0,1.4968685061666164e-05,5.146755081264572e-08,0.0008938234310682902,5.26645087597979e-06,0.0,0.0,0.5403718544345969,0.003013709471400631,0.0,5.8624574274448343e-08
Tractores y maquinaria agrícola,0.0057189527627965475,0.013427203803848832,0.009236320073157066,0.0015691361465808142,0.000507596492022538,0.0001934175254015062,0.0007665859725254448,0.005214346577091571,0.000699130859198256,0.0011522649154055438,0.0014723775133068796,0.0,0.0,0.0,6.206514870291626e-05,0.0,0.0006020329541990045,0.000839066244055156,8.313265119236474e-05,0.0011717865610636842,0.0008277331362525197,0.00023520239895026256,0.002211177361147913,0.004528944779697605,0.0006599502884666347,0.001175256192747585,0.0,0.0011149411726911903,0.003181936481115836,0.00012872133986165744,0.031854133779148364,2.7823294732716533e-06,5.763400187956616e-05,2.506951146103058e-05,1.831257774345934e-05,0.00016603970883143163,0.0017286081644914087,0.0012453144333648737,0.00016870586797163104,0.00013604884597688321,0.00010123150284042175,0.0015105030001441135,0.0,5.17968289272221e-05,2.1052764025824114e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013566872784060535,0.0,0.0,0.0,0.0001419580683956701,0.5257191735820637,0.03036460030001481,0.0005182846928038615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003850385435367759,0.0007493878074774817,0.0030928532355256697,0.002947940765174284,0.0,0.0,0.0,0.0,0.0,0.0,0.00046877638251081074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.794317005351646e-07,0.0,0.009991010481158719,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otra maquinaria de uso especial,0.000483429536317118,0.000531479357877363,0.01041983268598921,0.001618155852622712,0.0033683877276629195,0.00468637776133732,0.0006276729287733844,0.009282636541544235,0.008055914121626002,0.001263973906958154,0.024127518676445327,0.0040959931165136685,0.13691279247594518,0.010447386101682572,0.0011137325576831682,0.03485250216809348,0.002845709213451559,0.00042657848666959627,0.0002108052686923028,0.0005129324235369256,0.0007417226518122627,0.00038570147915258866,0.0026970648066831087,0.0017924357683522987,0.003128576587577146,0.0005304641168901809,0.00242792911785332,0.0010920798868317885,0.0014388376809943296,0.0016425456865784443,0.010047800841670493,0.00029919904572743436,0.0006088666251420152,0.0005099059803743587,0.0005789792509552114,0.0013183767433603247,0.0007625414968920657,0.0006270167649270931,0.0017053989439364732,0.0004496169048422496,0.0002915472921834947,0.0006715906408029328,0.0002657823194670613,0.0005229570580083005,0.00023013939706359983,0.00019922321673341125,0.0003224475938860174,3.0411194933648458e-06,3.685588624549866e-05,0.0002476498577670626,2.525407351416346e-05,0.00024284738630699743,0.00029805094440535146,0.0003015491299444699,0.0002903782244001491,0.0007376371583079932,0.0004900591922482474,0.000692566811496786,0.00015920176255746076,0.0003889120585156033,4.310411857243751e-05,0.00019584073056062862,0.0001951842305091567,0.0016385807518449421,3.321418722000211e-05,0.0002638255484770342,1.173451186003653e-05,0.002253879706854556,5.362886188343526e-05,0.00010464930242993267,1.688832196562522e-05,0.001449994947755333,0.002012298149285478,0.0016750902461303647,0.23420364141988184,0.014140463089961567,1.0333529593850953e-06,4.727698932005616e-05,7.397996788279609e-05,7.08100505490349e-05,0.0010776828475515111,2.2291191733982427e-05,0.0002962564368088572,0.0007942547796524553,0.007035882798110598,0.0007676528518205681,0.0017244759382496462,0.00017024661135874334,0.002138808763534538,0.0033985447257200126,0.00018921887708340097,0.0,1.0086926147079947e-05,9.569098151541137e-09,0.00016793448802268553,0.026390991391525006,7.9838208686641e-06,1.974190928845282e-05,0.0,0.0,0.0,4.586335535197862e-09,4.080567486152526e-08,0.0,0.0,4.51740060475255e-09,0.0,0.0,0.0,0.0,8.068223631605621e-05,0.0,0.018460189148631442,8.999745852247413e-05,0.0,0.0,0.6720455644903659,0.00042439481694809324,9.964872979565471e-08,8.989101388748747e-08
Aparatos de uso doméstico,3.879581671440379e-06,1.9731590457494324e-07,8.047434325820791e-06,7.583298601299121e-08,3.8308114034643144e-06,1.6952351572346014e-05,2.790608701152504e-06,0.001312219304653579,1.1676507042977136e-06,4.028104824903673e-06,8.782132586815521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027312585058485487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764840373570821e-07,0.0,0.0,0.0,5.92038955457861e-06,0.0,0.0,0.0,8.681383369117578e-06,4.5552554382685075e-06,5.406455453562669e-05,0.000804957957390649,0.23910970539570603,0.0,0.0,0.0,0.0,1.4486164549572247e-06,0.0,0.0,0.027090117296191516,7.084702054431071e-05,0.0025741915193468762,1.2546827826868034e-05,0.0,1.5907989277743293e-05,2.367993816694546e-05,0.0,0.0,0.0,0.0,1.5579542762058187e-06,0.07792094404985825,0.0004710927450433686,0.0011965602368430696,0.0,0.0002517001738376945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051502224961314635,2.4953964030373683e-08,6.232535739951266e-05,8.103392895132227e-05,0.0,0.0013069326138397017,0.0,0.0,0.0,0.0
Máquinas de oficina e informática,0.002281551444016387,0.005234844761801764,0.004668763186874281,0.00208284775207932,0.0022529085750154733,0.0004335491984111221,0.0025294027875941852,0.002754642563277996,0.0006016320253893969,0.0033367742425957337,0.0003674447522454021,0.0006367334628412051,0.0014419626464313615,0.0002335886283963342,3.8890028533125334e-05,0.00048049639219301674,0.00042484059968769935,0.00011315852689383115,0.0002198016092503153,0.00010419227147960012,6.382363803665388e-05,0.00019000614622508399,0.0003614014248216443,0.0004088336133572366,0.0008812600379210794,0.00013872395312594142,0.0002064198460944421,0.00013187818687155695,0.0001813503062980964,0.0003075423441695296,0.0013284459378747973,6.592459759430969e-05,0.00011561194068424483,9.373298044124252e-05,0.0001076213241342468,0.0003087170465710035,0.00012447692184114708,0.00012434189776063274,0.0003585767283580481,0.00013924602873569732,0.00012673149209968808,9.967142802413163e-05,0.00010731896487692614,2.772800846477006e-06,0.0,5.3433406797447495e-05,0.0,0.0008426410658338448,0.0,1.8461154262971422e-06,4.487731420790154e-06,2.24815323871473e-06,7.209064306707375e-06,5.402852418443067e-06,4.747809289024834e-06,4.3251468395669623e-07,3.886571397124316e-06,1.1693452123739717e-05,0.0,6.527885885094287e-06,8.82956036617001e-06,0.0,2.4231015969926638e-06,8.544768808705392e-06,0.0,5.604732422791884e-06,7.718141848960578e-06,4.862277378866687e-06,6.042688662922283e-06,8.12214977673283e-06,6.364390020803992e-06,4.806806227867115e-07,2.3198060102293323e-06,1.5258319940551764e-05,0.0,5.13107598203157e-06,0.1247941331270914,0.0,0.0,2.6286793707298335e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.4542914072051585e-05,0.0,0.0,6.630382686744728e-05,1.689356235057054e-05,0.0,1.2980984210997341e-05,9.359534902022387e-05,0.00041932772109156335,0.0,0.000641605547078764,0.0016933046895956276,0.0010390521102557008,0.001918372183318524,7.876065015216112e-06,0.000119853177762814,0.0,0.0003587379174410668,0.0016250879916096918,0.0011412444669804509,0.00028405519433701405,0.0,0.0,0.0027485053610080495,0.000313793777152058,0.0,0.0,0.0,0.0006967695014688628,0.0,0.09444116868536587,0.0,0.0005008268506660532,0.0
"Motores, generadores y transformadores eléctricos",0.00011826304396558485,0.00012642568140401817,0.0001308444123768362,7.513153089237105e-05,5.0807184818209195e-05,4.968291618879737e-05,4.1892058053584344e-05,0.0002395540369478231,5.663105915843911e-05,8.067556423962006e-05,0.0001443793965728895,2.0479934862666052e-09,2.7382503730181574e-07,0.0,1.3486378638402503e-05,0.03529677488548702,0.00011785923144623243,7.525089070246462e-08,1.0774060548517982e-08,1.0708163699121929e-05,8.524774149008251e-06,4.549234422641982e-05,5.700854436025114e-05,5.290697203604307e-05,0.00011531025780636121,1.1281659737787808e-05,1.969758008482911e-05,1.4428503855539937e-05,1.977647833130822e-07,3.034547464333962e-05,0.00021283703735843526,1.8448505500013908e-05,1.604220086417592e-05,1.1394146705013424e-05,1.3077751348838713e-05,2.8154041081108504e-05,1.428488116472201e-05,1.3647281461532861e-05,3.2709533731942054e-05,2.2554671098543274e-05,2.009260972875562e-05,1.1799185804984642e-05,1.347222139729776e-05,1.2102593858598407e-05,4.287875143823943e-06,5.5077625055461955e-06,2.064851369618565e-05,1.2194003405433798e-06,0.0,4.4101646294876174e-06,8.093440156676583e-06,5.971657040336002e-06,4.5771836867983336e-08,4.955853837061088e-07,5.520708475610272e-08,1.097921890043921e-05,7.609251229309656e-06,9.310542762389397e-06,1.0194055081405783e-05,8.74041863606462e-06,0.0001580762663191619,3.8328340436323476e-05,2.3778099783572868e-07,2.2060504669635264e-05,1.3305315926944667e-05,1.2952003464270807e-05,4.697999386323831e-06,0.0007564620296193813,2.1490052083088804e-05,0.0010972564604039066,0.005980019259319038,0.050748774413714205,0.040148474895558464,0.021306308039973156,0.03940299206438064,0.044815553924962497,4.718978514525269e-05,0.045674819979213355,0.012239010707215076,0.0004746174485258812,0.01432694843193195,0.0368547464799149,0.010930862290312152,0.078816691725492,0.0089405143271623,0.00040725709252952425,3.7996927452958305e-05,0.0009905619168525362,0.00045262988295390966,0.00011271650567466038,0.00038453096430786886,0.0,0.006819638363923486,0.0,9.585746449433023e-06,0.012710046217169852,4.951922540313644e-05,0.00012236209536864608,8.324060754850032e-06,0.00029690157336264005,0.0,0.0,1.3601891620508421e-08,0.0,0.0,9.0348012095051e-09,0.0,5.928329330639009e-05,0.0,0.0,1.0611177920992935e-06,1.5596227518983552e-09,0.0004063346622889117,0.00035049815041943437,0.0,0.0,0.0,1.2957435793287e-05,0.0,9.735001388767311e-05
Aparatos de control y distribución de energía eléctrica,1.5313590264817886e-05,1.976746607650795e-05,8.538131540809864e-06,4.139217153209104e-06,6.403327090462248e-06,1.0296962389991758e-05,2.4547478309253e-05,6.417279880022316e-06,4.6706028171908545e-06,2.63245160388071e-05,0.0016233343739531123,3.071990229399908e-07,0.0,0.0,1.640611009620098e-05,0.002673804387894474,1.842098735018518e-05,3.311039190908443e-06,5.92573330168489e-07,2.985677695339802e-06,6.685217622116997e-06,4.915118920604354e-05,8.112181899826859e-06,5.576055507588796e-05,8.132994028854462e-05,7.342599217526454e-06,7.825066061096496e-06,2.04380726399011e-05,0.0,1.057608930984696e-05,8.767028971727493e-05,1.2717737331185728e-05,1.0244406983708052e-05,8.109670453568255e-06,6.408470746439484e-06,4.7487595117331196e-05,3.737255017235387e-05,4.283730014314481e-05,5.321951671029371e-07,4.080767812159118e-06,7.2544896178559764e-06,1.1921078220325392e-05,5.889404524143789e-06,5.545601692954012e-06,0.0,8.412793867239905e-06,1.4607355760615589e-05,7.971866633092314e-08,3.6571111199274798e-06,5.305250896783202e-06,1.5805846513474756e-06,3.676667275814715e-06,7.590496280607236e-06,6.947912732350349e-06,3.3013836684149427e-06,8.982997282177538e-07,1.3368869082879426e-05,1.9652860712167596e-06,1.1500509215444357e-05,1.2799776245282918e-07,1.9266392950295317e-05,9.911660010921867e-06,2.377809978357287e-06,2.5398994376306732e-05,1.0165725610924397e-05,3.2380008660677018e-06,3.0096558568637035e-06,7.363956880014161e-05,3.1546389343197213e-06,1.3524145618805135e-05,0.0003736083103528823,0.0032391319240059084,0.0029880507354790305,0.0013645948221460622,0.00246191113916024,0.009165505271777908,0.0,0.023270902312450024,0.0381184639660665,0.0018583354929968458,0.0019747276129166895,0.0023031130490095996,0.001406672347874454,0.0049359635051085355,0.003392669683001848,0.00016368638447750622,3.564439723542055e-05,9.333933811584808e-07,0.00010870459339791252,0.00017807313501542985,4.052533681660017e-05,0.0,0.0032141608713137926,1.961665121065933e-05,0.00012506910717318933,0.05684116325039995,0.00011679333288716936,0.000740168128447469,4.055730976822806e-06,5.601017077965835e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004733708220929589,0.0,0.0,1.99475941441711e-05,0.0,0.0020522164291297863,4.2312688413316136e-05,5.743434043122263e-05,6.928493209529668e-06,0.0,0.000465129270789265,0.0,2.5446973540062212e-05
Hilos y cables aislados,3.3951544788347654e-05,3.5570676252010214e-05,3.270496937902169e-05,2.0923584724084492e-05,1.4148836278488635e-05,1.2218015774068684e-05,3.2087884121216694e-05,8.532876713507562e-05,1.5471371831944705e-05,2.5558608783367672e-05,5.58272413632517e-05,0.0,0.0,0.0,0.0007624392080131096,0.0,0.0008624881715331464,0.00015371875698245958,0.0,0.00013741997486322048,0.00031059341603426114,0.002294709134619503,0.00037814675443137864,0.002659230897671669,0.0037809668522400513,0.0003412107046433039,0.0003982688795233941,0.0009504119185534497,0.0,0.0004999329573189151,0.004253169655937858,0.0005897240755036804,0.0004765000428201472,0.00038023485796730334,0.00029678298680676574,0.002256781208319474,0.0017270165890108824,0.0021399695513986947,0.0,0.00018954062006162426,0.0005198627890486704,0.0005984186238738802,0.00043890244990552594,0.0002984170091331401,0.0,0.0004052518749562725,0.0006937673348328325,7.744520806889311e-06,0.00023651316996908047,0.0002495146208239284,7.23823096139393e-05,0.0005289365950648985,0.00035821802396831555,0.000340729527338647,0.00015315549453038017,3.792821074697182e-05,0.0006260657780668929,0.0,0.0006300868172419644,3.093888772431242e-05,0.0007267792738281498,0.0004595983038561948,0.00011062477851690806,0.001180957642978028,0.000863783133599442,0.013316987280768485,0.0002675447730876783,0.0025720061711117536,0.0006061053697093909,0.0011697045039312736,0.0012209215441280742,0.00040503897205545716,0.004033228788815082,0.0028335383337960173,0.0003664435490138618,0.011999216763110186,0.0,0.05319770212669421,0.01268432866140037,0.04323557947570333,0.014357544967359378,0.0061608488743431205,0.004770012084838617,0.001779912459482166,0.006995086662417995,0.008239124256558835,0.003124231417684611,0.0009247323588542427,0.0023294666948568926,0.008716111640489285,0.0011407203003282896,0.0003168316906468843,0.0055978558311984864,0.0,0.0,0.08052213445477605,3.400488031998397e-06,8.407875221547682e-06,3.3852270653319383e-06,0.00012055295481000509,0.0,0.0,0.0,0.0,0.0,4.51740060475255e-09,0.0,0.01496731937388322,0.0,0.0,5.089577809288301e-07,0.0,0.0005238495009733107,0.0007139587114476556,0.0,0.0,0.0,6.664932542774571e-05,0.0,4.781811108319169e-06
Acumuladores y pilas,0.0033139313765158302,0.0031095013401965304,0.003072476076793329,0.0019014299718742404,0.0011882226261227195,0.001001856949489232,0.0004666737400502555,0.005471998991104735,0.0018244542254651774,0.0020828138638290653,0.00017239452132972126,1.8022342679146126e-06,2.7930153804785204e-05,4.0446309050799675e-06,4.00420314212363e-06,0.0011002053385173436,2.259641114956049e-05,1.3432283990389933e-05,2.284100836285812e-06,1.402655621095121e-05,1.2697426758785976e-05,5.900680631878721e-06,1.2924913669143099e-05,6.247033141282053e-05,3.0478832808720737e-05,1.6779683787216044e-05,3.831584071295526e-05,2.132427633160413e-05,3.564710219218307e-05,8.524692676471472e-06,0.0002633679782749094,3.659593803463648e-06,1.921133395985539e-05,1.4212824506253643e-05,1.6095693967801495e-05,3.59732836506289e-05,2.1672935247164203e-05,2.085001334400854e-05,4.31078085353379e-05,4.348168551987209e-06,9.031099320188052e-06,2.170903917218765e-05,1.1003009302189317e-05,1.581860155039341e-05,6.36151968059126e-06,7.351056516773169e-06,5.6308389535302965e-06,0.0,2.825268221747254e-06,7.114071061943027e-06,2.0462926289766423e-07,2.490532259763662e-05,9.673114858100479e-06,9.960294476446304e-06,1.1273286707196176e-05,2.155919347722609e-05,1.676376578518681e-05,1.739278173026832e-05,5.8245113258202855e-06,1.3714045977088838e-05,1.9809108244669832e-05,7.323886707577735e-07,7.552377407449097e-06,5.89750824834916e-06,1.9575568814010743e-05,0.0006290174292873927,7.309164223811851e-06,0.0006570120816759812,2.344503959168131e-05,2.902136064092037e-05,0.0002454944190931514,0.002565683805402247,0.0015376096018710967,0.005451182827239152,0.003649403568042922,0.006623091636645271,0.0024158644020468656,0.02309203699743968,0.0015978234915795442,0.0016676858275643598,0.23352891265049094,0.0014595184623128045,0.00846055993737205,0.006862889849886005,0.01633299618317945,0.014936023638025311,0.0001328823128936478,4.3883960129660354e-05,0.010269218924524749,0.0001600763820085513,2.470220327459543e-05,1.5043761610133177e-05,1.6968481211414734e-05,1.818128648792816e-06,1.605558434645441e-05,0.017659324986026216,0.0006720267892034462,0.0016615557524421144,0.0001579445555409462,0.004948355583691463,1.5338653289582603e-07,2.3222145593218505e-06,2.1763026592813474e-07,6.966405309295613e-06,3.147520609221384e-05,2.223464577659205e-05,5.499395204914867e-06,0.002838749334785616,0.0,5.3221795692572375e-05,1.767503847118656e-05,2.1834718526576977e-08,0.004131100814170496,0.0011341581128589257,1.349105037256216e-05,0.0,0.001828786316048887,0.00013153349118904067,9.69658793780794e-06,3.7461102961372495e-06
Lámparas eléctricas y equipos de iluminación,2.6620939885916704e-05,0.0004303280500684444,5.27008808898264e-05,2.3343920860999125e-05,2.494221731306692e-05,0.00018509974206530624,0.00038195118915862843,2.2693918434486908e-05,7.589729577935138e-06,3.585580632872002e-05,0.0025971238698485515,7.870848566419817e-05,3.094222921510517e-05,3.0595916440641817e-07,0.0003021187160427287,0.004510912914734441,0.0003050164629241139,5.999377261253991e-05,0.00015055672210499026,6.130708276471933e-05,0.00012266701328099243,0.0008522782369299237,0.00014604408209260158,0.0006841658147692974,0.001494497337200458,0.00013608204546582657,0.0,0.0003751411002440384,0.0,0.00015390033409501438,0.0007090401638845188,0.00024106600884092456,0.00018673318341286548,0.0001336363810088,0.00012427589636481917,0.0006206523789556816,0.0007385106720441221,0.0,0.00013456350109748876,7.486058103274234e-05,0.000114238823875353,0.00022140538322493907,9.176126029119219e-06,0.00011305981812131037,0.0,0.00014840728743190605,0.00029154110563883766,2.0154059865736348e-05,0.0,8.291668932353782e-05,3.427187344461915e-05,7.073486309935252e-05,0.00011268263372949698,3.6546992708209315e-05,6.102591148939595e-05,3.57989076874927e-05,0.00021949763161470162,0.0005012707785397247,0.00014309965734237432,3.066460680477064e-05,0.00019308140280631817,0.0001869300017330757,4.415932816949247e-05,0.0004645501073331794,0.00021481939957558214,9.509839491386787e-05,0.00015423699770993505,0.00023772253547661175,0.00020354085856505132,0.00011606628655005712,0.0,1.1798524377492011e-06,0.00021066650458955341,0.0006772872164656857,2.4710008924431558e-06,4.417787392601173e-06,0.0,1.3924914490867034e-05,0.0,0.0,0.0001830963404129268,0.005768015818087273,0.0,1.186872055667148e-05,0.00012457327474879305,6.114700526499164e-05,0.00033441573486271556,0.0002383264433224654,1.3052709150968858e-05,0.004030325476014117,9.224900578435027e-05,0.0,0.0014348993543362226,9.569098151541137e-09,1.2982952301715155e-07,0.02936137078949227,0.004008761775607317,0.014395175914974348,0.0010379073474799845,0.014318630731033665,0.0,2.140289916425669e-08,1.360189162050842e-07,1.9173592594391595e-07,0.0,1.626264217710918e-07,0.0,7.557198533298782e-05,0.0,0.0,0.0016524136975663182,0.0,0.0022825499087681172,0.0027621553986900992,0.0,0.001805419467388494,0.0,0.06846753687098486,0.0,0.0001944108132089256
