,"Cultivo de cereales, oleaginosas y forrajeras","Cultivo de hortalizas, legumbres, flores y plantas ornamentales",Cultivo de frutas y nueces,Cultivos industriales,Producción de semillas,"Cría de ganado y producción de leche, lana y pelos",Producción de granja,Servicios agropecuarios,Caza,Silvicultura y extracción de madera,Pesca,"Extracción de petróleo, gas, carbón y uranio",Extracción de minerales metalíferos,Extracción de otros minerales,"Matanza de animales, conservación y procesamiento de carnes",Elaboración y conservación de pescado y productos de pescado,"Elaboración y conservación de frutas, legumbres y hortalizas",Aceites y subproductos oleaginosos,Productos lácteos,Molienda de trigo y de otros cereales,Alimentos balanceados,Productos de panadería,Azúcar,"Cacao, chocolate y productos de confitería",Pastas alimenticias,Otros productos alimenticios,Bebidas alcohólicas,Producción vitivinícola,Cerveza y malta,"Gaseosas, agua mineral y otras bebidas no alcohólicas",Productos de tabaco,"Fibras, hilados y tejeduría de productos textiles",Acabado de productos textiles,Fabricación de productos textiles,Tejidos de punto,"Prendas de vestir, terminación y teñido de pieles",Curtido y terminación de cueros,Marroquinería y talabartería,Calzado y sus partes,Aserraderos,Madera y sus productos,Celulosa y papel,Papel y cartón ondulado y envases de papel y cartón,Productos de papel y cartón,"Edición de libros, folletos, grabaciones y otras ediciones",Edición de periódicos y revistas,Impresiones y reproducción de grabaciones,Refinación de petróleo,Química básica,Fertilizantes y plaguicidas,Materias primas plásticas y caucho sintético,Pinturas y barnices,Productos medicinales,"Jabones, detergentes y cosméticos",Otros productos químicos,Fibras sintéticas manufacturadas,"Cubiertas, cámaras y recauchutado de cubiertas",Productos de caucho,Productos de plástico,Vidrio y productos de vidrio,Productos de cerámica refractaria y no refractaria para uso no estructural,Arcilla y cerámica no refractaria para uso estructural,"Cemento, cal y yeso","Artículos de hormigón, cemento y yeso",Industrias básicas de hierro y acero,Metalurgia de no ferrosos,Fundición de metales,"Estructuras metálicas, tanques, depósitos y generadores de vapor","Forja, laminado y tratamiento de metales",Artículos de cuchillería y ferretería y herramientas de mano,Otros productos metálicos,"Motores, turbinas, bombas y compresores","Engranajes, hornos, elevadores y otras maquinarias de uso general",Tractores y maquinaria agrícola,Otra maquinaria de uso especial,Aparatos de uso doméstico,Máquinas de oficina e informática,"Motores, generadores y transformadores eléctricos",Aparatos de control y distribución de energía eléctrica,Hilos y cables aislados,Acumuladores y pilas,Lámparas eléctricas y equipos de iluminación,"Tubos y transmisores de radio, TV y telefonía",Receptores de radio y TV,"Instrumentos médicos, ópticos y de precisión y relojes",Vehículos automotores,Carrocerías y remolques,Autopartes,"Buques, locomotoras y aeronaves","Motocicletas, bicicletas y otros tipos de transportes",Muebles y colchones,Otras industrias manufactureras,Electricidad,Gas,Agua,Construcción,Comercio mayorista,Comercio minorista,Hoteles,Restaurantes,Transporte terrestre de pasajeros,Transporte terrestre de carga,Transporte por tuberías,Transporte marítimo,Transporte aéreo,Actividades de transporte complementarias,Correos,Telecomunicaciones,Instituciones Financieras,Seguros,Servicios a las empresas y profesionales,Actividades inmobiliarias,Administración pública y defensa y planes de la seguridad social de afiliación obligatoria,Enseñanza pública,Enseñanza privada,Salud humana pública,Salud humana privada,Servicios veterinarios,Servicios sociales,Servicios de saneamiento,Actividad de asociaciones,"Servicios de cine, radio y televisión","Servicios personales, de reparación, actividades deportivas y de esparcimiento"
Alimentos balanceados,0.00,0.00,0.00,0.00,0.00,87334.51,331908.01,0.00,0.00,0.00,642.43,0.00,0.00,0.00,0.00,4567.75,0.00,0.00,910.85,311.31,13618.82,578.43,0.00,0.00,0.00,892.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.46,874.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3568.11,80.36,170.74,28.02,30.86,144.81,12.42,0.00,0.00,0.00,0.00
Productos de panadería,0.00,0.00,0.00,0.00,0.00,0.00,196.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.90,202.83,0.00,0.00,646.15,207.54,0.00,10462.51,0.00,0.00,0.00,145.29,0.00,0.00,99.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10850.18,371454.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.57,0.00,29476.63,13168.57,25321.43,5383.40,4026.27,0.00,1019.04,0.00,0.00,1.03,41.19
Azúcar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.36,14590.51,0.00,52526.62,370.66,625.78,56698.79,7879.99,46597.59,0.00,14593.90,21146.21,2223.44,359.08,73735.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56514.06,0.00,0.00,0.00,0.00,0.00,0.00,3377.80,0.00,0.00,0.00,10171.42,8034.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,838.50,29432.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2082.76,306.05,647.77,20.21,117.00,0.00,198.68,0.00,0.00,0.07,2.72
"Cacao, chocolate y productos de confitería",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,369.16,0.00,15197.35,0.00,0.00,31089.05,1.43,49484.45,0.00,73.84,886.09,0.00,0.00,0.00,161.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4283.68,24698.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,954.08,253.48,1734.56,175.18,126.28,0.00,172.79,0.00,0.00,0.00,0.08
Pastas alimenticias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6043.15,296.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3274.65,109632.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.56,289.30,3214.74,2077.12,474.07,0.00,242.73,0.00,0.00,0.00,0.00
Otros productos alimenticios,0.00,0.00,0.00,0.00,0.00,0.00,54.03,0.00,0.00,0.00,482.44,0.00,0.00,0.00,32299.55,1527.88,73.89,24.24,28468.08,9496.05,266.50,129270.20,367.92,2140.27,2636.25,174438.61,663.41,1471.56,0.00,168702.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.97,0.00,0.00,0.00,408.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11899.74,255829.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11211.49,596.77,1460.82,445.13,2125.50,0.00,3851.63,0.00,0.00,0.36,14.58
Bebidas alcohólicas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,319.57,0.00,0.00,0.00,0.00,867.65,0.00,4205.83,0.00,3.60,2257.80,867.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.78,28041.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.66,1.64,4.23,1.20,6.85,0.00,14.49,0.00,0.00,0.00,0.00
Producción vitivinícola,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.55,18778.34,0.00,0.00,0.00,0.00,9.05,0.00,0.00,0.00,218.86,1423.27,336528.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,429.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12661.24,344579.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7450.16,0.00,0.00,13.55,78.38,0.00,0.00,0.00,0.00,0.01,0.51
Cerveza y malta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.05,0.00,0.00,0.00,103.10,0.00,0.00,42833.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10469.56,148791.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Gaseosas, agua mineral y otras bebidas no alcohólicas",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.97,0.00,534.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.03,777.54,0.00,0.00,165083.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12599.33,455096.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14826.51,241.66,512.96,119.15,94.04,0.00,8074.36,0.00,0.00,0.07,2.93
Productos de tabaco,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39733.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16271.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Fibras, hilados y tejeduría de productos textiles",0.00,391.59,14.63,1206.08,12.56,7.76,92.46,0.00,0.00,0.00,287.66,14.68,1.32,6.00,9.23,2.07,3.21,20095.69,7.03,594.71,700.16,9.40,0.25,0.97,3.61,1099.68,0.20,2.22,0.85,8.98,389.97,669356.02,1597.41,101639.04,250733.41,652990.35,0.00,9904.57,34519.76,1.65,675.66,9894.01,4723.46,5248.02,1.20,5.60,72.66,0.00,3.12,1.40,8.16,1.97,3142.42,181.65,1357.74,20.70,16923.88,1962.10,7265.27,1.12,151.69,1.75,1.16,0.77,4.59,1.67,0.00,2.35,33.44,3.05,3030.27,18.10,10.51,1.83,0.00,3.52,0.12,64.64,1.52,0.52,1.83,0.00,1.95,1.14,2821.94,2159.77,1.29,31214.78,0.48,0.42,36674.96,2634.34,8.89,1.93,5.39,2235.75,753.58,1250.85,529.58,709.03,14.07,20.94,0.28,1.11,84.15,25.23,7.09,40.08,82.28,31.05,13021.67,0.00,4419.70,1642.80,1471.49,2687.31,15379.93,2.43,128.64,8.62,1104.28,1293.16,3442.20
Acabado de productos textiles,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4081.94,177751.50,51963.04,113692.11,47430.59,0.00,1281.12,4339.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6341.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fabricación de productos textiles,97.69,113.81,75.22,3736.10,20.93,43.04,31.31,39.51,1.45,0.91,4634.16,0.00,0.00,0.00,216.79,0.00,202.06,0.00,1348.22,0.00,56.05,672.24,419.72,78.67,107.95,0.00,0.61,114.13,0.00,195.77,18852.52,0.00,0.00,116398.49,6481.45,90791.20,0.00,3610.44,39412.71,61.34,3153.10,12875.31,0.00,66800.11,0.00,95.48,2789.44,0.00,0.00,41.09,0.00,0.00,15.64,0.00,0.00,0.00,579.95,113.12,432.71,40.38,2451.32,71.05,0.00,6.49,345.85,0.00,0.00,18.41,1621.96,114.44,0.00,26.25,53.91,150.90,0.00,6.26,0.00,60.59,55.39,98.55,0.00,405.96,77.55,48.14,72.43,129934.41,673.56,0.00,3.25,0.00,27436.65,0.00,0.00,0.00,0.00,134843.75,4685.74,8000.19,31197.14,40684.52,0.00,0.00,0.00,0.00,4025.07,0.00,0.00,0.00,0.00,0.00,4322.02,0.00,7971.68,754.72,984.92,2294.42,17658.70,231.72,7621.77,0.00,32422.64,120.64,968.27
Tejidos de punto,0.00,75.00,11.97,89.30,6.00,6.35,75.56,0.00,0.00,0.00,243.09,509.82,0.00,0.00,461.11,103.46,128.62,0.00,185.36,0.00,0.00,585.59,0.00,0.00,0.00,440.36,0.00,0.00,0.00,204.68,0.00,24491.64,0.00,7430.50,55736.75,282449.17,0.00,5716.02,17987.63,105.24,509.10,0.00,0.00,8741.34,0.00,0.00,162.34,0.00,0.00,0.00,0.00,0.00,192.44,121.97,0.00,0.00,0.00,0.00,0.00,0.00,53.52,0.00,0.00,111.69,136.94,0.00,122.14,111.87,130.60,0.00,2551.19,0.00,121.34,183.17,0.00,0.00,0.00,16.21,0.00,0.00,0.00,0.00,0.00,0.00,1514.83,308.90,0.00,15050.23,0.00,0.00,65338.63,3086.15,358.67,0.00,0.00,1233.16,455.50,756.08,694.37,2125.22,468.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19655.44,731.18,2381.87,591.14,1249.44,1293.46,4745.63,0.00,0.00,3115.14,973.99,352.62,0.00
"Prendas de vestir, terminación y teñido de pieles",381.01,84.54,55.81,95.77,46.66,417.04,113.66,64.78,0.60,34.05,2073.43,4588.34,0.00,0.00,4183.98,931.16,1157.62,176.26,1668.21,381.82,135.61,5270.28,209.47,304.11,411.20,1583.81,15.10,912.34,614.00,1842.16,173.70,0.00,258.17,0.00,0.00,81186.81,754.91,0.00,4752.09,947.17,1663.78,238.37,498.32,521.19,81.26,412.03,1005.49,249.64,855.68,765.75,0.00,261.82,1731.92,1097.75,498.69,53.26,82.96,548.11,0.00,573.87,396.29,713.85,467.79,1005.21,1232.42,511.29,1099.30,1006.85,1175.42,636.06,1534.65,721.05,1092.06,1648.56,743.52,395.38,13.21,304.07,153.17,130.10,867.75,224.31,319.86,265.34,315.03,2780.10,481.68,2276.09,947.62,85.67,2172.17,370.88,3228.07,44.32,220.27,11098.48,1838.79,3052.18,6249.29,19126.94,4219.18,0.00,0.00,0.00,0.00,0.00,0.00,346.90,0.00,0.00,116626.89,6580.65,15138.82,5021.92,10629.40,2838.92,19776.03,249.87,575.69,28036.25,8105.56,3173.55,247.74
Curtido y terminación de cueros,0.00,0.00,0.00,0.00,0.00,0.00,134.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2325.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.11,0.00,30683.75,130283.29,127409.79,201096.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1613.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.26,0.00,0.00,0.00,0.00,0.00,14587.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,44.60,2.19,4.64,0.07,0.00,0.00,0.00,0.00,516.03,0.00,0.00
Marroquinería y talabartería,118.60,26.31,17.37,29.81,14.52,128.79,118.67,20.16,0.19,9.34,1.05,0.00,0.00,0.00,2.14,0.00,0.74,0.91,1.61,1.10,0.13,1.95,0.00,0.22,0.79,1.36,0.04,0.48,0.03,2.09,0.25,0.00,0.16,0.00,0.00,1.79,0.00,4961.72,14569.59,0.30,0.59,0.25,0.00,0.35,0.28,0.00,0.96,0.00,0.64,0.35,0.00,0.45,2.25,1.22,0.34,0.09,0.00,0.67,0.00,0.25,0.00,0.00,0.26,0.34,0.00,0.38,0.00,0.54,0.00,0.68,1.22,0.27,0.07,0.00,0.00,0.37,0.02,0.45,0.28,0.12,0.36,0.30,0.44,0.26,17.99,1.26,0.28,0.00,0.11,0.09,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,7.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.91,0.83,978.14,557.06,1179.07,312.86,1185.53,0.00,0.00,6.45,2070.60,0.02,2.09
Calzado y sus partes,49.73,11.03,7.28,12.50,6.09,54.43,141.61,8.45,0.08,4.44,1262.50,0.00,0.00,0.00,1222.71,0.00,368.73,50.52,531.22,109.46,38.87,1675.68,60.05,87.17,117.93,504.49,4.33,261.53,176.04,586.77,49.79,297.63,74.00,1816.91,73.37,51.02,216.41,25.71,100158.91,301.62,530.01,68.34,142.85,149.39,23.17,118.12,319.97,0.00,245.29,219.50,52.13,75.06,551.65,323.89,142.98,15.26,23.78,157.14,599.30,164.49,113.62,204.65,134.11,320.15,392.55,146.57,350.12,320.78,374.38,182.33,488.87,142.78,316.51,525.10,213.15,113.35,3.79,87.16,43.90,37.29,248.76,64.28,91.68,76.06,90.28,788.17,138.08,725.00,269.90,24.55,691.93,106.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1924.29,0.00,9229.81,468.30,763.68,4097.81,7987.65,0.00,0.00,0.00,285.52,1487.90,95858.75
Aserraderos,0.00,26857.37,42.13,21106.74,35.22,387.65,20.01,2323.48,0.00,24.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54934.07,277935.41,2023.89,2673.09,1511.44,0.00,0.00,2.53,0.00,12215.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.52,0.00,565.73,0.00,1944.51,0.00,352.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1397.51,0.00,1642.27,0.00,77958.34,1025.55,0.00,0.00,0.00,373109.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Madera y sus productos,287.54,4.39,0.00,0.00,0.00,0.00,0.00,48.90,0.45,0.00,701.11,0.00,0.00,0.00,26513.98,382.52,11280.11,10165.70,98.82,2155.83,0.02,1822.25,8.56,1043.61,4917.08,3147.92,0.00,32377.30,0.00,4971.43,361.71,0.00,8.32,1090.54,3.80,0.00,1457.44,9706.48,41.34,0.00,13906.63,521.73,1208.87,22.87,8.70,0.16,1044.30,136.36,1808.45,2844.98,3473.21,633.12,2001.51,3413.61,2385.17,2094.10,6.82,39.20,0.00,3975.07,341.58,6816.19,1204.21,675.01,3496.40,199.38,240.13,3923.56,8100.25,2752.92,0.00,1478.80,1606.52,25.41,1966.94,3032.52,0.00,0.00,0.00,5653.81,542.61,858.35,3120.00,3.39,701.70,230.18,32.34,10948.76,687.01,95.68,452480.14,516.56,0.00,0.00,0.00,628339.04,22756.84,37773.75,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.17,117.01,0.00,896.06,0.00,371.16,2117.17,0.00,0.00,0.00,59992.37,2215.96,0.01,0.00
Celulosa y papel,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13048.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40099.96,296928.25,307767.92,1637.90,34431.24,126481.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Papel y cartón ondulado y envases de papel y cartón,1291.79,149.56,187.59,379.05,428.29,1412.16,0.00,0.00,2.02,115.45,14615.06,7293.22,0.00,0.00,7657.85,0.00,0.00,0.00,142241.99,24416.65,3108.50,0.00,11680.50,50534.87,20702.24,50694.91,4582.11,81721.06,12012.75,67432.52,0.00,0.00,418.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,602.44,2855.21,573.95,176.86,17559.07,682.53,0.00,0.00,0.00,0.00,3999.21,46907.87,34394.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26239.35,3706.60,0.00,0.00,0.00,0.00,0.00,4255.96,0.00,0.00,0.00,0.00,0.00,5635.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,204125.45,338824.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5144.74,0.00
